r [kpc],mass_cum [solMass],v_circ,v_rot,v_dm,v_baryon,v_ring,v_bulge
12.899999999999999,240462823158.60703,300.7718497835218,81.75732671038573,176.73647192754763,243.36788019951308,182.85958202144298,160.5935813653451
13.0,241577773676.12616,299.97274490993493,67.38739353206952,177.0704586125969,242.1357065274048,181.72471384164757,160.01821382172972
13.1,242693999506.42435,299.1953039051067,48.95412195584248,177.40074115004995,240.92904955252303,180.618090823428,159.44877605545307
13.200000000000001,243811516956.5178,298.43861440031696,15.80982580132158,177.72737149283924,239.7469248758519,179.53855829076483,158.88516001911887
13.3,244930339809.2044,297.70177296291916,0.0,178.05040059664634,238.58834940675382,178.48495640006504,158.3272585864674
13.4,246050472806.37994,296.98397132662177,0.0,178.36987844521033,237.45244932064315,177.45624744860723,157.77498512068155
13.5,247171916683.88885,296.2844380714014,0.0,178.68585407481856,236.3383883266507,176.4514315224258,157.22826116994815
13.6,248294671301.32843,295.60237678203646,0.0,178.9983755980154,235.2452904788124,175.46945216721133,156.68700663615843
13.700000000000001,249418735187.79144,294.93695936942595,0.0,179.3074902265602,234.17223138266087,174.5091846054808,156.15113973027755
13.8,250544105034.92593,294.2873833808613,0.0,179.6132442936625,233.11831007335988,173.56953221843793,155.62057697146543
13.9,251670766317.99802,293.65306437559366,0.0,179.91568327552005,232.08289279625788,172.64975462324696,155.09523318661974
14.000000000000002,252798700472.14792,293.0334949802152,0.0,180.2148518121909,231.0654374124999,171.74923316193806,154.57502151032077
14.1,253927889121.4683,292.4281611673901,0.0,180.5107937278215,230.0653880780266,170.86732972232463,154.05985338515475
14.200000000000001,255058314089.15884,291.83654234259586,0.0,180.80355205025475,229.08217523956893,170.00338669217726,153.5496386374212
14.3,256189957400.39526,291.25811615496724,0.0,181.09316903004276,228.11522166834183,169.15672716153466,153.04429428369704
14.4,257322801284.91135,290.6923630644858,0.0,181.3796861588873,227.16394826846619,168.32665513573448,152.54375294889627
14.5,258456828179.30484,290.1387586009335,0.0,181.66314418752486,226.22776418113077,167.51245575636707,152.04794787455856
14.6,259592020729.08847,289.59677251257597,0.0,181.94358314308124,225.3060656146598,166.7133955271921,151.55681098040887
14.7,260728361790.4983,289.0658689315931,0.0,182.2210423459118,224.39823597244782,165.92872254190058,151.07027286385411
14.8,261865833705.12057,288.5455358231885,0.0,182.49556042594864,223.50368379136364,165.15771787977923,150.58826279977174
14.9,263004414766.37448,288.03542806996484,0.0,182.7671753385684,222.62202820522697,164.39994696961253,150.11070874057404
15.0,264144081934.2152,287.5352594006599,0.0,183.03592438000197,221.752961163911,163.65507389264135,149.63753731653406
